Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
richmond,,Glen Allen,VA,23060,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,0.758,252,1.281,-337,2.06,-887,0,0,0,0,0,0,0.772,234,0,0,0,0,0,0,0,0,0,0,0,0,1.062,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23274,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23276,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23278,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23279,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23282,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23284,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23285,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23286,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Henrico,VA,23288,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23289,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23290,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23291,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23292,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23293,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Henrico,VA,23294,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23295,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Chesterfield,VA,23297,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
richmond,,Richmond,VA,23298,Successful,'2017-03-04',FAILED,'2017-03-04',,,,,,,,,,,,,
